Donor Name,Food Type,Quantity (kg),Location,Donation Date,Transport Mode,Donor Type,Donation Frequency (per month),Average Donation Duration (hours)
Mosley-Martin,Frozen Food,54.22,West William,2024-10-02,Drone,Supermarket,4,1.2
Williams Inc,Grains,11.22,North Jeremiah,2024-02-07,Drone,Restaurant,8,1.9
Jackson and Sons,Frozen Food,23.2,East Rubenton,2024-04-01,Truck,Restaurant,1,1.1
Miranda Group,Canned Goods,10.28,Christianstad,2024-10-30,Drone,Supermarket,7,2.9
"Roberts, Gonzales and Smith",Dairy,81.49,Joshuamouth,2024-06-26,Truck,Grocery Store,8,1.5
Doyle-Rangel,Grains,27.42,Port Tonya,2023-12-28,Drone,Food Bank,7,2.5
"Rhodes, Mack and Craig",Fruits,50.25,New Stephanie,2024-01-05,Walk,Grocery Store,7,1.9
Fields Group,Vegetables,6.52,Medinachester,2024-04-11,Walk,Food Bank,9,1.3
Mcdonald LLC,Snacks,46.72,Adamstown,2024-02-16,Van,Farm,1,1.1
"Ortega, Shannon and Mitchell",Dairy,24.14,South Charles,2024-08-19,Van,Restaurant,5,3.0
Dixon LLC,Frozen Food,77.21,Ethanview,2024-07-29,Drone,Grocery Store,5,1.1
Mcdaniel-Hernandez,Meat,75.95,Toddchester,2024-04-02,Drone,Supermarket,4,2.6
Barnett-Kelly,Fruits,37.23,Port Loriview,2024-01-09,Drone,Food Bank,2,1.7
Williams and Sons,Grains,73.17,Jacobland,2024-07-06,Bike,Supermarket,7,2.8
"Morris, Cook and Baker",Fruits,65.05,Dannyberg,2024-06-05,Bike,Supermarket,6,0.8
"Porter, Sanders and Parker",Snacks,79.29,East Michelle,2024-08-22,Van,Food Bank,4,1.2
Tucker-Kennedy,Bakery,8.35,Port Moniquefurt,2024-06-03,Van,Grocery Store,5,2.4
Newton Group,Meat,67.56,East Chadbury,2024-05-21,Van,Grocery Store,3,0.7
"Garcia, King and Lopez",Snacks,59.19,East Jamieland,2024-05-09,Walk,Farm,2,1.4
Conrad-Mendez,Meat,18.95,Jonesburgh,2024-05-03,Walk,Supermarket,4,1.9
"Nielsen, Schultz and Smith",Snacks,14.32,Matthewville,2024-03-30,Truck,Restaurant,2,2.7
Lopez PLC,Bakery,45.46,Williammouth,2024-05-06,Van,Grocery Store,9,0.8
"Jordan, Griffin and Williams",Fruits,39.62,Susanchester,2023-11-22,Walk,Supermarket,7,1.7
Wilson-Monroe,Frozen Food,95.21,Williamston,2024-08-04,Walk,Food Bank,1,0.8
Bowman LLC,Canned Goods,91.45,Jeremyland,2024-08-06,Walk,Food Bank,1,1.3
"Blackburn, West and Thompson",Bakery,77.61,East Kathleenmouth,2024-08-17,Bike,Food Bank,4,2.7
"Mendez, Murray and Mason",Vegetables,31.4,Karenmouth,2024-04-01,Truck,Farm,7,2.3
French and Sons,Frozen Food,71.41,Lake Carlos,2024-03-05,Drone,Restaurant,9,2.1
Lewis-Horn,Meat,12.84,Goldenbury,2024-09-19,Walk,Food Bank,1,2.4
Flores-West,Vegetables,22.46,Hollyport,2023-12-21,Bike,Grocery Store,6,1.2
Smith Group,Fruits,84.32,East Phillipmouth,2024-01-19,Walk,Food Bank,9,2.3
"Atkins, Chapman and Rogers",Vegetables,7.01,Blackhaven,2024-09-17,Walk,Supermarket,1,1.8
"Compton, Estrada and Williams",Bakery,24.69,Port Thomas,2023-12-23,Truck,Supermarket,6,1.1
Valdez-Morris,Dairy,66.75,South Jeanetteburgh,2023-12-09,Van,Restaurant,3,2.8
Alvarez Inc,Grains,43.77,North Jill,2024-06-20,Truck,Food Bank,1,2.1
